capacity_profile,capacity,confidence_scenario,contrast,metric,paired_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,discordant_positive_count,discordant_negative_count
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,first_recovery_gate_open,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,recovery_gate_reopenings,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,cumulative_panic_contribution,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,maximum_panic_contribution,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,paired_liquidations_avoided,128,31.953125,1.06389494898,29.8678909,34.0383591,32,13,22.75,41,47.3,51,8,62,1,128,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,paired_additional_liquidations,128,0.015625,0.015625,-0.015,0.04625,0,0,0,0,0,0,0,2,0.0078125,1,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,paired_avoided_debt_dai,128,7213.86534133,504.29387039,6225.44935536,8202.28132729,6331.52611658,1378.36536341,3646.43992583,8460.2145719,13304.0433509,16449.2071365,718.728155542,41009.2981633,1,128,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,paired_additional_debt_dai,128,0.354171445056,0.354171445056,-0.340004587254,1.04834747737,0,0,0,0,0,0,0,45.3339449672,0.0078125,1,0
shared_keeper_capacity_low,14,stage1_only,full_week - persistent_trough,closure_time_difference_mean,128,-1.47543523647,0.111404820884,-1.69378868541,-1.25708178754,-1.19128100972,-3.77582605858,-2.00998931624,-0.652264381885,-0.0661616161616,0.0238487750967,-7.83870967742,0.436781609195,0.0625,8,120
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,backlog_area_dai_hours,128,-203359.78925,16139.1455184,-234992.514467,-171727.064034,-162949.4427,-471858.582384,-260909.628169,-92946.8317881,-44558.7466422,-22333.9602973,-1563254.54962,-7313.47366029,0,0,128
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,maximum_unresolved_tab_dai,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,cumulative_realised_bad_debt_dai,128,-6.15013569765e-13,4.23059175032e-13,-1.44420955283e-12,2.14182413299e-13,0,-1.05365716152e-12,-1.26565424807e-13,4.50547085461e-14,2.53719758584e-13,5.98108492121e-13,-3.24007487507e-11,1.62409247415e-11,0.3515625,45,49
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,below_peg_burden,128,-14.5755355775,4.79295563767,-23.9697286273,-5.18134252767,0,-197.426721334,0,0,0,0,-247.00946579,0,0,0,19
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,restricted_mean_recovery_time,128,-30.25,12.4323612915,-54.6174281314,-5.88257186858,0,-76.05,0,0,0,0,-720,0,0,0,7
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,unsafe_vault_count,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,peak_unsafe_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,newly_unsafe_count,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,cumulative_arrival_count,128,-344.21875,44.8161062907,-432.05831833,-256.37918167,-130,-1433.7,-396.25,-42.25,-20.4,-9.35,-2411,5,0.0078125,1,124
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,cumulative_attempts,128,-156.5234375,19.059944694,-193.8809291,-119.1659459,-56,-603.25,-184.75,-32,-21,-15.35,-1110,-2,0,0,128
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,cumulative_successful_closures,128,-31.9375,1.06515994049,-34.0252134834,-29.8497865166,-32,-51,-41,-22.75,-17,-13,-62,-8,0,0,128
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,cumulative_capacity_rejected,128,-27.1015625,3.20269248508,-33.3788397708,-20.8242852292,-14,-108,-31.5,-5.75,-2,0,-185,0,0,0,116
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,cumulative_unprofitable_attempts,128,-124.5859375,18.7998337999,-161.433611748,-87.7382632522,-25,-572.4,-139.5,-1,0,2.65,-1063,12,0.0859375,11,99
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,binding_hours,128,-3.390625,0.453447312737,-4.27938173296,-2.50186826704,-1.5,-13.95,-4,-1,0,0,-32,0,0,0,107
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,positive_demand_hours,128,-34.859375,4.53236032928,-43.7428012454,-25.9759487546,-11.5,-139.85,-39.75,-5,-2,-1,-248,1,0.0078125,1,124
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,mean_capacity_utilisation,128,0.0171773894673,0.00884950643182,-0.000167643139096,0.0345224220736,0.00374961931026,-0.130359435173,-0.0469860598702,0.0679837040138,0.14925180223,0.207702156334,-0.189491817399,0.409716060337,0.5390625,69,59
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,maximum_capacity_utilisation,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,maximum_attempts_one_hour,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,cumulative_debt_repaid_dai,128,-7213.51116988,504.309812404,-8201.9584022,-6225.06393757,-6331.52611658,-16449.2071365,-8460.2145719,-3646.43992583,-2267.21955383,-1378.36536341,-41009.2981633,-718.728155542,0,0,128
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,completed_liquidation_count,128,-31.9375,1.06515994049,-34.0252134834,-29.8497865166,-32,-51,-41,-22.75,-17,-13,-62,-8,0,0,128
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,unresolved_vault_count,128,-0.1484375,0.0744813462137,-0.294420938579,-0.0024540614211,0,0,0,0,0,0,-6,0,0,0,4
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,unresolved_tab_at_horizon_dai,128,-2.88397505823,1.43082906883,-5.68840003313,-0.0795500833202,0,0,0,0,0,0,-103.595692293,0,0,0,4
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,maximum_backlog_duration,128,-100.5,13.1990505728,-126.370139123,-74.6298608773,-35.5,-421.65,-122.75,-13.75,-4.7,-1.35,-666,1,0.0078125,1,123
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,active_bad_debt_at_horizon_dai,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,maximum_active_bad_debt_dai,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,keeper_profit_dai,128,-726.131975463,63.7379740961,-851.058404691,-601.205546235,-543.150243307,-1947.24507938,-892.84632771,-283.766506839,-186.524085335,-133.819787413,-5171.86117407,-33.7505568418,0,0,128
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,recovered_before_execution_count,128,27.6484375,0.902587449942,25.8793660981,29.4175089019,28,10.35,20.75,34,39.6,44,7,62,1,128,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,recovered_before_closure_count,128,32.0859375,1.06586875308,29.996834744,34.175040256,32,13,23,41,48,51,8,62,1,128,0
shared_keeper_capacity_low,14,confidence_resilient,full_week - persistent_trough,minimum_dai_price,128,0.0271167626139,0.0100011992909,0.00751441200362,0.0467191132241,0,0,0,0,0,0.321321481693,0,0.497044511673,0.0625,8,0
