contrast_family,setting,role,portfolio,consecutive_hours,metric,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p95
R-A,population_1000,reference,eth_only,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,population_1000,reference,eth_only,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,population_1000,reference,eth_only,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-A,population_1000,reference,eth_only,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,population_1000,reference,eth_only,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,population_1000,reference,eth_only,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-A,population_1000,reference,eth_only,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,population_1000,reference,eth_only,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,population_1000,treatment,stable_supported,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-A,population_1000,treatment,stable_supported,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,population_1000,treatment,stable_supported,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,population_1000,treatment,stable_supported,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-A,population_1000,treatment,stable_supported,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,population_1000,treatment,stable_supported,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,population_1000,treatment,stable_supported,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-A,population_1000,treatment,stable_supported,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,population_1000,treatment,stable_supported,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,market_block_72,reference,eth_only,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-A,market_block_72,reference,eth_only,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,market_block_72,reference,eth_only,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,market_block_72,reference,eth_only,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-A,market_block_72,reference,eth_only,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,market_block_72,reference,eth_only,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,market_block_72,reference,eth_only,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-A,market_block_72,reference,eth_only,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,market_block_72,reference,eth_only,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,market_block_72,treatment,stable_supported,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-A,market_block_72,treatment,stable_supported,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,market_block_72,treatment,stable_supported,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,market_block_72,treatment,stable_supported,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-A,market_block_72,treatment,stable_supported,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,market_block_72,treatment,stable_supported,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,market_block_72,treatment,stable_supported,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-A,market_block_72,treatment,stable_supported,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,market_block_72,treatment,stable_supported,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,market_block_336,reference,eth_only,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-A,market_block_336,reference,eth_only,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,market_block_336,reference,eth_only,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,market_block_336,reference,eth_only,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-A,market_block_336,reference,eth_only,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,market_block_336,reference,eth_only,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,market_block_336,reference,eth_only,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-A,market_block_336,reference,eth_only,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,market_block_336,reference,eth_only,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,market_block_336,treatment,stable_supported,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-A,market_block_336,treatment,stable_supported,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,market_block_336,treatment,stable_supported,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,market_block_336,treatment,stable_supported,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-A,market_block_336,treatment,stable_supported,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,market_block_336,treatment,stable_supported,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,market_block_336,treatment,stable_supported,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-A,market_block_336,treatment,stable_supported,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,market_block_336,treatment,stable_supported,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,keeper_hurdle_low,reference,eth_only,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-A,keeper_hurdle_low,reference,eth_only,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,keeper_hurdle_low,reference,eth_only,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,keeper_hurdle_low,reference,eth_only,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-A,keeper_hurdle_low,reference,eth_only,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,keeper_hurdle_low,reference,eth_only,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,keeper_hurdle_low,reference,eth_only,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-A,keeper_hurdle_low,reference,eth_only,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,keeper_hurdle_low,reference,eth_only,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,keeper_hurdle_low,treatment,stable_supported,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-A,keeper_hurdle_low,treatment,stable_supported,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,keeper_hurdle_low,treatment,stable_supported,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,keeper_hurdle_low,treatment,stable_supported,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-A,keeper_hurdle_low,treatment,stable_supported,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,keeper_hurdle_low,treatment,stable_supported,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,keeper_hurdle_low,treatment,stable_supported,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-A,keeper_hurdle_low,treatment,stable_supported,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,keeper_hurdle_low,treatment,stable_supported,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,keeper_hurdle_high,reference,eth_only,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-A,keeper_hurdle_high,reference,eth_only,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,keeper_hurdle_high,reference,eth_only,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,keeper_hurdle_high,reference,eth_only,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-A,keeper_hurdle_high,reference,eth_only,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,keeper_hurdle_high,reference,eth_only,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,keeper_hurdle_high,reference,eth_only,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-A,keeper_hurdle_high,reference,eth_only,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,keeper_hurdle_high,reference,eth_only,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,keeper_hurdle_high,treatment,stable_supported,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-A,keeper_hurdle_high,treatment,stable_supported,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,keeper_hurdle_high,treatment,stable_supported,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,keeper_hurdle_high,treatment,stable_supported,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-A,keeper_hurdle_high,treatment,stable_supported,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,keeper_hurdle_high,treatment,stable_supported,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-A,keeper_hurdle_high,treatment,stable_supported,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-A,keeper_hurdle_high,treatment,stable_supported,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-A,keeper_hurdle_high,treatment,stable_supported,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,baseline,reference,eth_only,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-B,baseline,reference,eth_only,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,baseline,reference,eth_only,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,baseline,reference,eth_only,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-B,baseline,reference,eth_only,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,baseline,reference,eth_only,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,baseline,reference,eth_only,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-B,baseline,reference,eth_only,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,baseline,reference,eth_only,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,baseline,treatment,stable_supported,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-B,baseline,treatment,stable_supported,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,baseline,treatment,stable_supported,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,baseline,treatment,stable_supported,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-B,baseline,treatment,stable_supported,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,baseline,treatment,stable_supported,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,baseline,treatment,stable_supported,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-B,baseline,treatment,stable_supported,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,baseline,treatment,stable_supported,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,population_250,reference,eth_only,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-B,population_250,reference,eth_only,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,population_250,reference,eth_only,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,population_250,reference,eth_only,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-B,population_250,reference,eth_only,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,population_250,reference,eth_only,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,population_250,reference,eth_only,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-B,population_250,reference,eth_only,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,population_250,reference,eth_only,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,population_250,treatment,stable_supported,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-B,population_250,treatment,stable_supported,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,population_250,treatment,stable_supported,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,population_250,treatment,stable_supported,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-B,population_250,treatment,stable_supported,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,population_250,treatment,stable_supported,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,population_250,treatment,stable_supported,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-B,population_250,treatment,stable_supported,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,population_250,treatment,stable_supported,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,population_1000,reference,eth_only,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-B,population_1000,reference,eth_only,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,population_1000,reference,eth_only,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,population_1000,reference,eth_only,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-B,population_1000,reference,eth_only,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,population_1000,reference,eth_only,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,population_1000,reference,eth_only,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-B,population_1000,reference,eth_only,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,population_1000,reference,eth_only,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,population_1000,treatment,stable_supported,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-B,population_1000,treatment,stable_supported,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,population_1000,treatment,stable_supported,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,population_1000,treatment,stable_supported,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-B,population_1000,treatment,stable_supported,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,population_1000,treatment,stable_supported,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,population_1000,treatment,stable_supported,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
R-B,population_1000,treatment,stable_supported,48,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,population_1000,treatment,stable_supported,48,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,market_block_72,reference,eth_only,12,restricted_mean_recovery_time,64,60.609375,20.915013893005025,19.615947769710154,101.60280223028985,0.0,0.0,0.0,0.0,510.09999999999997
R-B,market_block_72,reference,eth_only,12,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,market_block_72,reference,eth_only,12,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,market_block_72,reference,eth_only,24,restricted_mean_recovery_time,64,62.484375,21.38272036602771,20.57424308258569,104.3945069174143,0.0,0.0,0.0,0.0,522.0999999999999
R-B,market_block_72,reference,eth_only,24,recovery_probability_720h,64,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R-B,market_block_72,reference,eth_only,24,right_censored,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-B,market_block_72,reference,eth_only,48,restricted_mean_recovery_time,64,66.234375,22.329232279241207,22.469079732687234,109.99967026731277,0.0,0.0,0.0,0.0,546.0999999999999
